"HR_DATE","HR_KD_STORE","SUM(HR_NET_VALUE)"
2023-06-19 00:00:00.000,TH28,4426840.67
2023-06-20 00:00:00.000,TH28,6066140.63
2023-06-21 00:00:00.000,TH28,5150647.72
2023-06-22 00:00:00.000,TH28,3888664.03
2023-06-23 00:00:00.000,TH28,4386989.31
2023-06-24 00:00:00.000,TH28,7052148.62
2023-06-25 00:00:00.000,TH28,4850097.39
2023-06-26 00:00:00.000,TH28,4847348.54
2023-06-27 00:00:00.000,TH28,4389123.61
2023-06-28 00:00:00.000,TH28,6006889.26
2023-06-29 00:00:00.000,TH28,8172941.44
2023-06-30 00:00:00.000,TH28,4305951.29
2023-07-01 00:00:00.000,TH28,7738437.95
2023-07-02 00:00:00.000,TH28,5789564.86
2023-07-03 00:00:00.000,TH28,6055131.66
2023-07-04 00:00:00.000,TH28,5623034.05
2023-07-05 00:00:00.000,TH28,4183501.78
2023-07-06 00:00:00.000,TH28,4550900.84
2023-07-07 00:00:00.000,TH28,4820831.38
2023-07-08 00:00:00.000,TH28,4787111.67
2023-07-09 00:00:00.000,TH28,5469500.81
2023-07-10 00:00:00.000,TH28,4622148.59
2023-07-11 00:00:00.000,TH28,4663758.58
2023-07-12 00:00:00.000,TH28,5996427.89
2023-07-13 00:00:00.000,TH28,4832647.7
2023-07-14 00:00:00.000,TH28,4617307.93
2023-07-15 00:00:00.000,TH28,6674101.83
2023-07-16 00:00:00.000,TH28,5062169.41
2023-07-17 00:00:00.000,TH28,4691893.69
2023-07-18 00:00:00.000,TH28,5476495.56
2023-07-19 00:00:00.000,TH28,5337895.48
2023-07-20 00:00:00.000,TH28,3976453.17
2023-07-21 00:00:00.000,TH28,5819295.46
2023-07-22 00:00:00.000,TH28,3792546.94
2023-07-23 00:00:00.000,TH28,4948898.24
2023-07-24 00:00:00.000,TH28,3789264.85
2023-07-25 00:00:00.000,TH28,4494806.41
2023-07-26 00:00:00.000,TH28,3531379.25
2023-07-27 00:00:00.000,TH28,4947922.58
2023-07-28 00:00:00.000,TH28,5756571.86
2023-07-29 00:00:00.000,TH28,6991921.64
2023-07-30 00:00:00.000,TH28,6926716.17
2023-07-31 00:00:00.000,TH28,6224297.26
2023-08-01 00:00:00.000,TH28,5326616.99
2023-08-02 00:00:00.000,TH28,6196581.89
2023-08-03 00:00:00.000,TH28,5492754.14
2023-08-04 00:00:00.000,TH28,4636788.25
2023-08-05 00:00:00.000,TH28,5603947.71
2023-08-06 00:00:00.000,TH28,4541805.33
2023-08-07 00:00:00.000,TH28,4168862.84
2023-08-08 00:00:00.000,TH28,4789968.29
2023-08-09 00:00:00.000,TH28,4295891.96
2023-08-10 00:00:00.000,TH28,4536295.51
2023-08-11 00:00:00.000,TH28,4009101.85
2023-08-12 00:00:00.000,TH28,5175825.23
2023-08-13 00:00:00.000,TH28,5307585.68
2023-08-14 00:00:00.000,TH28,4332430.82
2023-08-15 00:00:00.000,TH28,3645303.12
2023-08-16 00:00:00.000,TH28,4280797.27
2023-08-17 00:00:00.000,TH28,4834111.65
2023-08-18 00:00:00.000,TH28,7320446.94
2023-08-19 00:00:00.000,TH28,4488772.94
2023-08-20 00:00:00.000,TH28,5591853.09
2023-08-21 00:00:00.000,TH28,4621154.1
2023-08-22 00:00:00.000,TH28,2944859.44
2023-08-23 00:00:00.000,TH28,5532458.51
2023-08-24 00:00:00.000,TH28,5275779.36
2023-08-25 00:00:00.000,TH28,4659802.63
2023-08-26 00:00:00.000,TH28,5814981.87
2023-08-27 00:00:00.000,TH28,6137587.43
2023-08-28 00:00:00.000,TH28,4329565.63
